ACI  R      G      B        R   G   B    R   G   B
 37  0.3000 0.2250 0.1500  76  57  38  123  93  57
 38  0.1500 0.0750 0.0000  38  19   0   74  36   0
 39  0.1500 0.1125 0.0750  38  28  19   74  56  33
 40  1.0000 0.7500 0.0000 255 191   0  255 190   0
 41  1.0000 0.8750 0.5000 255 223 127  255 223 123
 42  0.6500 0.4875 0.0000 165 124   0  206 154   0
 43  0.6500 0.5688 0.3250 165 145  82  206 178  99
 44  0.5000 0.3750 0.0000 127  95   0  156 113   0
 45  0.5000 0.4375 0.2500 127 111  63  156 134  74
 46  0.3000 0.2250 0.0000  76  57   0  123  93   0
 47  0.3000 0.2625 0.1500  76  66  38  123 109  57
 48  0.1500 0.1125 0.0000  38  28   0   74  56   0
 49  0.1500 0.1313 0.0750  38  33  19   74  65  33
 50  1.0000 1.0000 0.0000 255 255   0  255 255   0
 51  1.0000 1.0000 0.5000 255 255 127  255 255 123
 52  0.6500 0.6500 0.0000 165 165   0  206 207   0
 53  0.6500 0.6500 0.3250 165 165  82  206 207  99
 54  0.5000 0.5000 0.0000 127 127   0  156 154   0
 55  0.5000 0.5000 0.2500 127 127  63  156 154  74
 56  0.3000 0.3000 0.0000  76  76   0  123 125   0
 57  0.3000 0.3000 0.1500  76  76  38  123 125  57
 58  0.1500 0.1500 0.0000  38  38   0   74  77   0
 59  0.1500 0.1500 0.0750  38  38  19   74  77  33
 60  0.7500 1.0000 0.0000 191 255   0  189 255   0
 61  0.8750 1.0000 0.5000 223 255 127  222 255 123
 62  0.4875 0.6500 0.0000 124 165   0  156 207   0
 63  0.5688 0.6500 0.3250 145 165  82  181 207  99
 64  0.3750 0.5000 0.0000  95 127   0  115 154   0
 65  0.4375 0.5000 0.2500 111 127  63  132 154  74
 66  0.2250 0.3000 0.0000  57  76   0   90 125   0
 67  0.2625 0.3000 0.1500  66  76  38  107 125  57
 68  0.1125 0.1500 0.0000  28  38   0   57  77   0
 69  0.1313 0.1500 0.0750  33  38  19   66  77  33
 70  0.5000 1.0000 0.0000 127 255   0  123 255   0
 71  0.7500 1.0000 0.5000 191 255 127  189 255 123
 72  0.3250 0.6500 0.0000  82 165   0   99 207   0
 73  0.4875 0.6500 0.3250 124 165  82  156 207  99
 74  0.2500 0.5000 0.0000  63 127   0   74 154   0
 75  0.3750 0.5000 0.2500  95 127  63  115 154  74
 76  0.1500 0.3000 0.0000  38  76   0   57 125   0
 77  0.2250 0.3000 0.1500  57  76  38   90 125  57
 78  0.0750 0.1500 0.0000  19  38   0   33  77   0
 79  0.1125 0.1500 0.0750  28  38  19   57  77  33
 80  0.2500 1.0000 0.0000  63 255   0   57 255   0
 81  0.6250 1.0000 0.5000 159 255 127  156 255 123
 82  0.1625 0.6500 0.0000  41 165   0   49 207   0
 83  0.4063 0.6500 0.3250 103 165  82  123 207  99
 84  0.1250 0.5000 0.0000  31 127   0   33 154   0
 85  0.3125 0.5000 0.2500  79 127  63   90 154  74
 86  0.0750 0.3000 0.0000  19  76   0   24 125   0
 87  0.1875 0.3000 0.1500  47  76  38   74 125  57
 88  0.0375 0.1500 0.0000   9  38   0   16  77   0
 89  0.0938 0.1500 0.0750  23  38  19   41  77  33
 90  0.0000 1.0000 0.0000   0 255   0    0 255   0
 91  0.5000 1.0000 0.5000 127 255 127  123 255 123
 92  0.0000 0.6500 0.0000   0 165   0    0 207   0
 93  0.3250 0.6500 0.3250  82 165  82   99 207  99
 94  0.0000 0.5000 0.0000   0 127   0    0 154   0
 95  0.2500 0.5000 0.2500  63 127  63   74 154  74
 96  0.0000 0.3000 0.0000   0  76   0    0 125   0
 97  0.1500 0.3000 0.1500  38  76  38   57 125  57
 98  0.0000 0.1500 0.0000   0  38   0    0  77   0
 99  0.0750 0.1500 0.0750  19  38  19   33  77  33
100  0.0000 1.0000 0.2500   0 255  63    0 255  57
101  0.5000 1.0000 0.6250 127 255 159  123 255 156
102  0.0000 0.6500 0.1625   0 165  41    0 207  49
103  0.3250 0.6500 0.4063  82 165 103   99 207 123
104  0.0000 0.5000 0.1250   0 127  31    0 154  33
105  0.2500 0.5000 0.3125  63 127  79   74 154  90
106  0.0000 0.3000 0.0750   0  76  19    0 125  24
107  0.1500 0.3000 0.1875  38  76  47   57 125  74
108  0.0000 0.1500 0.0375   0  38   9    0  77  16
109  0.0750 0.1500 0.0938  19  38  23   33  77  41
110  0.0000 1.0000 0.5000   0 255 127    0 255 123
111  0.5000 1.0000 0.7500 127 255 191  123 255 189
112  0.0000 0.6500 0.3250   0 165  82    0 207  99
113  0.3250 0.6500 0.4875  82 165 124   99 207 156
114  0.0000 0.5000 0.2500   0 127  63    0 154  74
115  0.2500 0.5000 0.3750  63 127  95   74 154 115
116  0.0000 0.3000 0.1500   0  76  38    0 125  57
117  0.1500 0.3000 0.2250  38  76  57   57 125  90
118  0.0000 0.1500 0.0750   0  38  19    0  77  33
119  0.0750 0.1500 0.1125  19  38  28   33  77  57
120  0.0000 1.0000 0.7500   0 255 191    0 255 189
121  0.5000 1.0000 0.8750 127 255 223  123 255 222
122  0.0000 0.6500 0.4875   0 165 124    0 207 156
123  0.3250 0.6500 0.5688  82 165 145   99 207 181
124  0.0000 0.5000 0.3750   0 127  95    0 154 115
125  0.2500 0.5000 0.4375  63 127 111   74 154 132
126  0.0000 0.3000 0.2250   0  76  57    0 125  90
127  0.1500 0.3000 0.2625  38  76  66   57 125 107
128  0.0000 0.1500 0.1125   0  38  28    0  77  57
129  0.0750 0.1500 0.1313  19  38  33   33  77  66
130  0.0000 1.0000 1.0000   0 255 255    0 255 255
131  0.5000 1.0000 1.0000 127 255 255  123 255 255
132  0.0000 0.6500 0.6500   0 165 165    0 207 206
133  0.3250 0.6500 0.6500  82 165 165   99 207 206
134  0.0000 0.5000 0.5000   0 127 127    0 154 156
135  0.2500 0.5000 0.5000  63 127 127   74 154 156
136  0.0000 0.3000 0.3000   0  76  76    0 125 123
137  0.1500 0.3000 0.3000  38  76  76   57 125 123
138  0.0000 0.1500 0.1500   0  38  38    0  77  74
139  0.0750 0.1500 0.1500  19  38  38   33  77  74
140  0.0000 0.7500 1.0000   0 191 255    0 190 255
141  0.5000 0.8750 1.0000 127 223 255  123 223 255
142  0.0000 0.4875 0.6500   0 124 165    0 154 206
143  0.3250 0.5688 0.6500  82 145 165   99 178 206
144  0.0000 0.3750 0.5000   0  95 127    0 113 156
145  0.2500 0.4375 0.5000  63 111 127   74  13 156
146  0.0000 0.2250 0.3000   0  57  76    0  93 123
147  0.1500 0.2625 0.3000  38  66  76   57 109 123
148  0.0000 0.1125 0.1500   0  28  38    0  56  74
149  0.0750 0.1313 0.1500  19  33  38   33  65  74
150  0.0000 0.5000 1.0000   0 127 255    0 125 255
151  0.5000 0.7500 1.0000 127 191 255  123 190 255
152  0.0000 0.3250 0.6500   0  82 165    0 101 206
153  0.3250 0.4875 0.6500  82 124 165   99 154 206
154  0.0000 0.2500 0.5000   0  63 127    0  77 156
155  0.2500 0.3750 0.5000  63  95 127   74 113 156
156  0.0000 0.1500 0.3000   0  38  76    0  60 123
157  0.1500 0.2250 0.3000  38  57  76   57  93 123
158  0.0000 0.0750 0.1500   0  19  38    0  36  74
159  0.0750 0.1125 0.1500  19  28  38   33  56  74
160  0.0000 0.2500 1.0000   0  63 255    0  60 255
161  0.5000 0.6250 1.0000 127 159 255  123 158 255
162  0.0000 0.1625 0.6500   0  41 165    0  48 206
163  0.3250 0.4063 0.6500  82 103 165   99 125 206
164  0.0000 0.1250 0.5000   0  31 127    0  36 156
165  0.2500 0.3125 0.5000  63  79 127   74  93 156
166  0.0000 0.0750 0.3000   0  19  76    0  28 123
167  0.1500 0.1875 0.3000  38  47  76   57  77 123
168  0.0000 0.0375 0.1500   0   9  38    0  16  74
169  0.0750 0.0938 0.1500  19  23  38   33  44  74
170  0.0000 0.0000 1.0000   0   0 255    0   0 255
171  0.5000 0.5000 1.0000 127 127 255  123 125 255
172  0.0000 0.0000 0.6500   0   0 165    0   0 206
173  0.3250 0.3250 0.6500  82  82 165   99 101 206
174  0.0000 0.0000 0.5000   0   0 127    0   0 156
175  0.2500 0.2500 0.5000  63  63 127   74  77 156
176  0.0000 0.0000 0.3000   0   0  76    0   0 123
177  0.1500 0.1500 0.3000  38  38  76   57  60 123
178  0.0000 0.0000 0.1500   0   0  38    0   0  74
179  0.0750 0.0750 0.1500  19  19  38   33  36  74
180  0.2500 0.0000 1.0000  63   0 255   57   0 255
181  0.6250 0.5000 1.0000 159 127 255  156 125 255
182  0.1625 0.0000 0.6500  41   0 165   49   0 206
183  0.4063 0.3250 0.6500 103  82 165  123 101 206
184  0.1250 0.0000 0.5000  31   0 127   33   0 156
185  0.3125 0.2500 0.5000  79  63 127   90  77 156
186  0.0750 0.0000 0.3000  19   0  76   24   0 123
187  0.1875 0.1500 0.3000  47  38  76   74  60 123
188  0.0375 0.0000 0.1500   9   0  38   16   0  74
189  0.0938 0.0750 0.1500  23  19  38   41  36  74
190  0.5000 0.0000 1.0000 127   0 255  123   0 255
191  0.7500 0.5000 1.0000 191 127 255  189 125 255
192  0.3250 0.0000 0.6500  82   0 165   99   0 206
193  0.4875 0.3250 0.6500 124  82 165  156 101 206
194  0.2500 0.0000 0.5000  63   0 127   74   0 156
195  0.3750 0.2500 0.5000  95  63 127  115  77 156
196  0.1500 0.0000 0.3000  38   0  76   57   0 123
197  0.2250 0.1500 0.3000  57  38  76   90  60 123
198  0.0750 0.0000 0.1500  19   0  38   33   0  74
199  0.1125 0.0750 0.1500  28  19  38   57  36  74
200  0.7500 0.0000 1.0000 191   0 255  189   0 255
201  0.8750 0.5000 1.0000 223 127 255  122 125 255
202  0.4875 0.0000 0.6500 124   0 165  156   0 206
203  0.5688 0.3250 0.6500 145  82 165  181 101 206
204  0.3750 0.0000 0.5000  95   0 127  115   0 156
205  0.4375 0.2500 0.5000 111  63 127  132  77 156
206  0.2250 0.0000 0.3000  57   0  76   90   0 123
207  0.2625 0.1500 0.3000  66  38  76  107  60 123
208  0.1125 0.0000 0.1500  28   0  38   57   0  74
209  0.1313 0.0750 0.1500  33  19  38   66  36  74
210  1.0000 0.0000 1.0000 255   0 255  255   0 255
211  1.0000 0.5000 1.0000 255 127 255  255 125 255
212  0.6500 0.0000 0.6500 165   0 165  206   0 206
213  0.6500 0.3250 0.6500 165  82 165  206 101 206
214  0.5000 0.0000 0.5000 127   0 127  156   0 156
215  0.5000 0.2500 0.5000 127  63 127  156  77 156
216  0.3000 0.0000 0.3000  76   0  76  123   0 123
217  0.3000 0.1500 0.3000  76  38  76  123  60 123
218  0.1500 0.0000 0.1500  38   0  38   74   0  74
219  0.1500 0.0750 0.1500  38  19  38   74  36  74
220  1.0000 0.0000 0.7500 255   0 191  255   0 189
221  1.0000 0.5000 0.8750 255 127 223  255 125 222
222  0.6500 0.0000 0.4875 165   0 124  206   0 156
223  0.6500 0.3250 0.5688 165  82 145  206 101 181
224  0.5000 0.0000 0.3750 127   0  95  156   0 115
225  0.5000 0.2500 0.4375 127  63 111  156  77 132
226  0.3000 0.0000 0.2250  76   0  57  123   0  90
227  0.3000 0.1500 0.2625  76  38  66  123  60 107
228  0.1500 0.0000 0.1125  38   0  28   74   0  57
229  0.1500 0.0750 0.1313  38  19  33   74  36  66
230  1.0000 0.0000 0.5000 255   0 127  255   0 123
231  1.0000 0.5000 0.7500 255 127 191  255 125 189
232  0.6500 0.0000 0.3250 165   0  82  206   0  99
233  0.6500 0.3250 0.4875 165  82 124  206 101 156
234  0.5000 0.0000 0.2500 127   0  63  156   0  74
235  0.5000 0.2500 0.3750 127  63  95  156  77 115
236  0.3000 0.0000 0.1500  76   0  38  123   0  57
237  0.3000 0.1500 0.2250  76  38  57  123  60  90
238  0.1500 0.0000 0.0750  38   0  19   74   0  33
239  0.1500 0.0750 0.1125  38  19  28   74  36  57
240  1.0000 0.0000 0.2500 255   0  63  255   0  57
241  1.0000 0.5000 0.6250 255 127 159  255 125 156
242  0.6500 0.0000 0.1625 165   0  41  206   0  49
243  0.6500 0.3250 0.4063 165  82 103  206 101 123
244  0.5000 0.0000 0.1250 127   0  31  156   0  33
245  0.5000 0.2500 0.3125 127  63  79  156  77  90
246  0.3000 0.0000 0.0750  76   0  19  123   0  24
247  0.3000 0.1500 0.1875  76  38  47  123  60  74
248  0.1500 0.0000 0.0375  38   0   9   74   0  16
249  0.1500 0.0750 0.0938  38  19  23   74  36  41
250  0.3300 0.3300 0.3300  84  84  84   49  48  49
251  0.4640 0.4640 0.4640 118 118 118   90  89  90
252  0.5980 0.5980 0.5980 152 152 152  132 134 132
253  0.7320 0.7320 0.7320 186 186 186  173 174 173
254  0.8660 0.8660 0.8660 220 220 220  214 215 214
255  1.0000 1.0000 1.0000 255 255 255  255 255 255
